Fuel,Change
Total,-2.0352035203520447
Coal,-1.886792452830182
Petroleum,-5.674846625766875
Natural gas,-0.13755158184320293
Bioenergy & waste,14.024390243902445
Nuclear,-43.396226415094354
"Wind, solar and hydro",6.578947368421052
Net imports,-11.11111111111112
